"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2025","83,311.7","83,664.7","84,292.0","82,871.9","82.84K","-0.42%"
"12-03-2025","83,664.3","82,921.1","84,266.5","80,646.6","88.61K","0.90%"
"11-03-2025","82,921.1","78,579.7","83,572.6","76,677.1","123.59K","5.53%"
"10-03-2025","78,575.9","80,702.2","83,902.8","77,480.5","120.23K","-2.62%"
"09-03-2025","80,691.6","86,221.5","86,498.6","80,048.9","69.90K","-6.41%"
"08-03-2025","86,221.9","86,783.8","86,886.8","85,264.6","41.90K","-0.36%"
"07-03-2025","86,531.2","89,879.5","91,059.8","84,864.3","138.11K","-3.78%"
"06-03-2025","89,930.9","90,611.7","92,802.0","87,849.6","89.27K","-0.75%"
"05-03-2025","90,611.7","87,269.5","90,937.8","86,429.4","95.54K","3.83%"
"04-03-2025","87,266.3","86,083.8","88,887.8","81,617.0","132.50K","1.23%"
"03-03-2025","86,209.7","94,266.1","94,266.1","85,140.8","143.15K","-8.55%"
"02-03-2025","94,265.1","86,065.7","94,986.5","85,069.3","126.76K","9.52%"
"01-03-2025","86,071.6","84,353.4","86,546.3","83,837.3","79.51K","2.00%"
"28-02-2025","84,381.2","84,713.3","85,028.7","78,329.8","186.90K","-0.39%"
"27-02-2025","84,714.6","84,204.6","87,013.9","82,723.5","116.14K","0.60%"
"26-02-2025","84,212.7","88,675.0","89,375.3","82,332.9","145.33K","-5.04%"
"25-02-2025","88,686.0","91,510.4","92,523.1","86,097.5","195.29K","-3.08%"
"24-02-2025","91,508.5","96,261.0","96,497.9","91,378.5","96.46K","-4.93%"
"23-02-2025","96,258.8","96,556.2","96,655.2","95,259.5","38.82K","-0.31%"
"22-02-2025","96,556.1","96,158.3","96,930.8","95,801.1","45.62K","0.42%"
"21-02-2025","96,155.6","98,310.3","99,473.4","94,903.6","104.28K","-2.19%"
"20-02-2025","98,310.3","96,645.2","98,721.6","96,441.9","61.84K","1.72%"
"19-02-2025","96,644.8","95,663.7","96,829.6","95,049.1","58.27K","1.05%"
"18-02-2025","95,638.0","95,781.5","96,645.1","93,403.4","74.09K","-0.15%"
"17-02-2025","95,781.3","96,120.2","97,002.3","95,222.0","58.40K","-0.36%"
"16-02-2025","96,132.1","97,573.1","97,706.5","96,060.2","33.35K","-1.48%"
"15-02-2025","97,573.4","97,504.4","97,973.2","97,210.8","29.65K","0.07%"
"14-02-2025","97,504.6","96,611.6","98,817.3","96,316.5","65.37K","0.93%"
"13-02-2025","96,610.2","97,874.7","98,079.6","95,295.4","66.76K","-1.30%"
