Date,Open,Close/Last,High,Low
03/15/2025,84589.7,84272.4,84679.5,83636.4
03/14/2025,81891.2,84479,84679.5,83974.2
03/13/2025,83576.2,81809.9,82241.1,80833.2
03-12-2025,82123,83632.9,84292,83357.2
03-11-2025,79510,82222.1,83750.2,82146.1
03-10-2025,82045.6,79647.5,79813.6,76677.1
03-09-2025,86124.6,82197.8,82697,80122.6
03-08-2025,86459,86027.7,86498.6,85959.8
03-07-2025,87663.8,86485.8,86886.8,85264.6
03-06-2025,92283.4,87609.3,90978.9,84864.3
03-05-2025,86887.7,92242.8,92245.1,89994.6
03-04-2025,83380.9,87008,87870.1,86429.4
03-03-2025,92846.7,83745.7,86756.4,82558.2
03-02-2025,85747.2,92940.1,94266.1,92454.3
03-01-2025,84290.5,85827,86546.3,83837.3
02/28/2025,84290.5,86074.4,86546.3,83837.3
02/27/2025,84737.3,80505,84876.3,79535.1
02/26/2025,88142,85147,85401.8,84085.5
02/25/2025,91843,88825.9,89375.3,88136.2
02/24/2025,96251.6,92095.2,92523.1,91014.6
02/23/2025,96654.9,95343.7,96497.9,95118.7
02/22/2025,96178.6,96437.7,96655.2,96383.1
02/21/2025,98242.3,96376.2,96463.8,95801.1
02/20/2025,96856.1,98206.6,98509.9,98096.6
02/19/2025,96644.8,97194.1,97347.7,96441.9
02/18/2025,95638,95439.1,95930,95057.5
02/17/2025,96035.1,95985.7,96319.9,95559.7
02/16/2025,97532.8,96115.5,96612.6,96041.2
02/15/2025,97665.4,97526.4,97706.5,97431.6
02/14/2025,96753.8,97556.3,97973.2,97252.5
02/13/2025,96932.8,96789,97222.4,96399
02-12-2025,95543.2,97003.8,98079.6,97003.8
02-11-2025,98070.9,95525.6,96259.8,95128.9
02-10-2025,96938.9,98069.6,98115.4,97434
02-09-2025,96218.7,96852.7,97297.8,96369
02-08-2025,95981.2,96623.3,96862.8,95716.1
02-07-2025,97460.6,96402.1,96862.8,96237.1
02-06-2025,97623.4,97467.5,97872.2,96424.2
02-05-2025,98042.5,97631.2,97824,96510.6
02-04-2025,100069,98213.4,98890.5,97183.6
02-03-2025,92749.8,100151,101693,100151
02-02-2025,99539.8,93027.2,97686,91695.8
02-01-2025,102142,100785,102771,100748
01/31/2025,104005,102381,102771,102138
01/30/2025,105498,104197,105001,103959
01/29/2025,102007,105361,105364,103388
01/28/2025,102920,102070,102275,101342
01/27/2025,100400,102979,103362,101356
01/26/2025,105153,100482,103235,100447
01/25/2025,104644,105214,105400,104521
01/24/2025,104657,104861,105256,104390
01/23/2025,102031,104563,104719,102760
01/22/2025,105580,102011,103789,101597
01/21/2025,102316,105559,106266,105366
01/20/2025,102228,102312,103190,100193
01/19/2025,104947,102381,102733,99676
01/18/2025,103581,104860,105416,104014
01/17/2025,101480,103429,104661,102729
01/16/2025,99604.9,101217,102089,99956.2
01/15/2025,97187.2,99589.9,100812,99301.1
01/14/2025,95120.1,97183,97702.7,96501.9
01/13/2025,94552.9,94984.1,95268.4,94359.5
01-12-2025,94583.6,94524.3,95906.9,93902.2
01-11-2025,94061.8,94609.7,94694.4,94297.1
01-10-2025,93771,93910.4,94723.6,93847.8
01-09-2025,94428.6,93724,93857.3,92474.1
01-08-2025,96276.6,94312,95323.1,93527.7
01-07-2025,101689,96207.2,97266.4,96145.8
01-06-2025,99469.9,101787,102678,101548
01-05-2025,98355.8,99318.1,99425.4,97932.3
01-04-2025,97993.8,98383.3,98511.7,98048.2
01-03-2025,96793.3,97948.5,98297.5,97808.9
01-02-2025,95664.6,96766,97292.9,96647.7
01-01-2025,93527.3,95886,95962.4,94381.2
12/31/2024,92429.3,93631.3,94425.3,93470
12/30/2024,93260.9,92408.6,92863.2,92036.2
12/29/2024,95157.9,93468.7,94220.2,93360.1
12/28/2024,94561.7,95097,95315.4,94811.1
12/27/2024,96395.4,94534,94669.2,94124.7
12/26/2024,98958.1,96343.7,96553.8,95391.1
12/25/2024,98019.1,98395.5,99922.5,98324
12/24/2024,94345,98263.5,98839.7,97722.3
12/23/2024,96014.2,94142.8,94855.1,93566.2
12/22/2024,96985.3,95836.2,96487.5,93751.2
12/21/2024,97585.2,96219.2,97422.2,96194.9
12/20/2024,97300.6,97570.7,97809.8,97190
12/19/2024,100651,97414.3,97803.2,95995.2
12/18/2024,103889,100811,101269,98909.9
12/17/2024,106504,103696,106478,103605
12/16/2024,104675,106484,106961,105686
12/15/2024,102358,104508,106569,104296
12/14/2024,101686,102202,102834,101235
12/13/2024,100003,101700,102633,101150
12-12-2024,100677,100051,100351,99214.2
12-11-2024,97543.2,100656,101828,100345
12-10-2024,97024.7,97560.2,97622.7,95689.5
12-09-2024,99417.2,96719.3,98131.6,95587.8
12-08-2024,99165.8,99736,100317,99354.5
12-07-2024,100412,99939.7,100442,98969
12-06-2024,97881,99566.7,100442,99099.3
12-05-2024,103316,97954.1,98795.8,96452
12-04-2024,95998.3,103127,103719,97949.1
12-03-2024,95918.8,95833.3,96606.5,95344.2
12-02-2024,96728,95942.4,96228.7,95407.8
12-01-2024,96486.5,96642,98082,96137.3
11/30/2024,96688.1,96403.9,96667.5,95721.8
11/29/2024,96258.8,96672.1,97461.9,96371.5
11/28/2024,95760.2,96407.6,96825.4,95405.7
11/27/2024,92538.4,95649.2,96549,94867.1
11/26/2024,94300.6,92549.2,93179.1,91795.5
11/25/2024,97814.6,94440.2,94909.3,92827.3
11/24/2024,98188.2,97706.5,98051.9,96953.4
11/23/2024,98622.3,98096.2,98552.6,97644
11/22/2024,98804.5,98429.4,98927.2,98341.8
11/21/2024,97487.4,98817,99289.3,97868.9
11/20/2024,92147.2,96865.2,96904.8,94063.8
11/19/2024,91506.8,92191.1,92419.7,91517.4
11/18/2024,90445.6,91376,91805.7,90378.7
11/17/2024,90384.4,90532,90916.6,89674.2
11/16/2024,91274.6,90469.5,90883.9,89387.7
11/15/2024,87443.8,91239.9,91673.9,90863.5
